episode,steps,reward,avg_reward_100,epsilon,loss,duration
1,947,-1764.32,-1764.32,1.0000,0.000000,14.00
2,1397,-2231.72,-1998.02,0.8415,0.182558,51.46
3,328,-5.79,-1333.94,0.7142,0.168335,30.42
4,121,-183.85,-1046.42,0.6723,0.149835,8.83
5,132,-83.41,-853.82,0.6293,0.147118,12.47
6,121,-191.34,-743.41,0.5924,0.148224,11.78
7,122,-285.24,-677.95,0.5573,0.149817,9.14
8,122,-83.78,-603.68,0.5243,0.146615,12.93
9,64,-194.37,-558.20,0.5078,0.167769,6.16
10,104,-165.60,-518.94,0.4821,0.188032,8.84
11,109,-40.66,-475.46,0.4565,0.209052,11.60
12,136,124.72,-425.45,0.4265,0.215501,14.28
13,69,-161.85,-405.17,0.4120,0.256989,7.42
14,118,-163.58,-387.91,0.3884,0.233922,12.51
15,73,-205.01,-375.72,0.3745,0.288822,7.69
16,100,-16.04,-353.24,0.3562,0.250460,5.32
17,74,-120.77,-339.57,0.3433,0.295466,7.52
18,75,-134.45,-328.17,0.3306,0.291869,6.81
19,89,-51.92,-313.63,0.3162,0.313427,8.98
20,62,-165.25,-306.21,0.3066,0.316288,5.59
21,85,-74.84,-295.19,0.2938,0.347721,9.32
22,60,-188.03,-290.32,0.2851,0.338581,6.35
23,125,-95.73,-281.86,0.2678,0.369932,12.07
24,61,-187.11,-277.91,0.2598,0.375906,3.47
25,60,-191.08,-274.44,0.2521,0.456761,6.52
26,54,-202.24,-271.66,0.2454,0.398628,5.48
27,94,-206.17,-269.24,0.2341,0.448662,10.49
28,84,-63.19,-261.88,0.2245,0.486097,7.19
29,51,-199.40,-259.73,0.2188,0.466392,5.73
30,68,-154.49,-256.22,0.2115,0.457205,7.38
31,54,-189.75,-254.07,0.2059,0.479041,6.19
32,86,-228.61,-253.28,0.1972,0.568960,6.28
33,101,-38.70,-246.78,0.1875,0.552490,10.88
34,603,-213.32,-245.79,0.1387,0.679228,59.11
35,189,11.68,-238.44,0.1262,0.794014,17.34
36,414,-1164.09,-264.15,0.1026,0.848132,41.09
37,136,-176.23,-261.77,0.0958,0.874337,14.85
38,65,-123.20,-258.13,0.0928,0.968417,4.93
39,65,-202.65,-256.70,0.0898,0.937860,6.57
40,330,-495.14,-262.66,0.0761,1.016875,32.60
41,503,182.74,-251.80,0.0592,1.088836,48.72
42,117,-79.97,-247.71,0.0558,1.156046,12.17
43,154,-93.19,-244.12,0.0517,1.207069,16.40
