episode,steps,reward,avg_reward_100,alpha,critic_loss,actor_loss,duration
70,189,-396.13,-396.13,0.4651,87.612477,0.000000,12.39
71,69,-462.31,-429.22,0.4676,44.643122,0.000000,4.00
72,409,-145.80,-334.75,0.4698,85.296158,0.000000,22.05
73,140,-386.89,-347.78,0.4686,64.932487,0.000000,6.40
74,198,-330.02,-344.23,0.4628,81.710088,0.000000,10.82
75,205,-404.41,-354.26,0.4579,71.342266,0.000000,11.51
76,97,-448.50,-367.72,0.4563,99.389250,0.000000,5.68
77,468,-73.16,-330.90,0.4676,109.409794,0.000000,26.96
78,112,-424.88,-341.35,0.4709,90.807104,0.000000,4.91
79,144,-503.14,-357.53,0.4741,128.135133,0.000000,8.48
80,392,-261.28,-348.78,0.4750,166.259132,0.000000,20.78
81,121,-413.17,-354.14,0.4761,191.454504,0.000000,6.90
82,327,-195.74,-341.96,0.4793,147.274908,0.000000,18.51
83,358,-236.71,-334.44,0.4789,186.996294,0.000000,19.17
84,207,-288.15,-331.35,0.4764,152.952943,0.000000,11.97
85,158,-353.30,-332.73,0.4752,196.540431,0.000000,6.99
86,85,-434.72,-338.73,0.4746,165.006353,0.000000,5.03
87,1571,-287.00,-335.85,0.4252,165.558271,0.000000,85.13
88,1999,266.92,-304.13,0.3111,165.485620,0.000000,109.12
89,1544,367.83,-270.53,0.3289,141.359074,0.000000,83.63
90,1999,-69.49,-260.96,0.3449,150.617692,0.000000,109.42
91,951,-2.89,-249.23,0.3451,141.270048,0.000000,51.16
92,1999,1277.11,-182.86,0.3285,144.478494,0.000000,109.14
93,942,-1491.36,-237.38,0.3045,141.134522,0.000000,50.29
94,1491,285.28,-216.48,0.2978,135.008004,0.000000,78.69
95,1999,1370.93,-155.42,0.2919,114.722279,0.000000,103.51
96,1999,-1311.05,-198.22,0.2667,109.647791,0.000000,106.18
97,1150,306.66,-180.19,0.2709,97.926131,0.000000,61.94
98,804,135.22,-169.32,0.2707,104.021207,0.000000,40.06
99,685,-2439.42,-244.99,0.2740,108.290762,0.000000,37.15
100,1999,1073.11,-202.47,0.2597,101.186137,0.000000,107.13
101,1453,260.45,-188.00,0.2595,92.015219,0.000000,77.22
102,1752,988.42,-152.35,0.2605,107.025692,0.000000,89.36
